date,source,title,address,borough,developers,url
2026-06-07,DOB NOW: Build – Approved Permits,Structural,FIFTH AVENUE,MANHATTAN,MATTHEW GRABELL,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,WETMORE ROAD,STATEN ISLAND,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,90 STREET,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST   24 STREET,MANHATTAN,CBRE,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,WETMORE ROAD,STATEN ISLAND,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,GREENWICH STREET,MANHATTAN,RYCO CAPITAL,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST  223 STREET,BRONX,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,ROBERTS AVENUE,BRONX,NYC SCA,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,GRAND STREET,BROOKLYN,TIDAL REAL ESTATE PARTNERS LP,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Full Demolition,PURDY AVENUE,STATEN ISLAND,BRADLEY ASSOC OF SI INC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,VAN BRUNT STREET,BROOKLYN,OC CONSTRUCTION GROUP,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Construction Fence,VYSE AVENUE,BRONX,"NODE ARCHITECTURE, ENGINEERING, CON",https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,WOODHAVEN BOULEVARD,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,FINDLAY AVENUE,BRONX,LANGSAM PROPERTY SERVICES,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,EAST   17 STREET,BROOKLYN,NYC SCHOOL CONSTRUCTION AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Earth Work,EAST  215 STREET,BRONX,707 East 215th Street LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,NORTH ELLIOTT PLACE,BROOKLYN,NAVY YARD HOUSING,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EASTCHESTER ROAD,BRONX,American Endovascular,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,VERNON BOULEVARD,QUEENS,MSA MORTGAGE SERVICE ASSOCIATES,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,YORK AVENUE,MANHATTAN,Glenwood Management Corp.,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,3 AVENUE,MANHATTAN,950 THIRD AVENUE LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
