date,source,title,address,borough,developers,url
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,107 AVENUE,QUEENS,YASH & B CONSTRUCTION COR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,JUNCTION BOULEVARD,QUEENS,VORNADO REALTY TRUST,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,107 AVENUE,QUEENS,YASH & B CONSTRUCTION COR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,131 STREET,QUEENS,EMPIRE & R GENERAL CONS I,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,PERSHING CRESCENT,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,RUTLAND ROAD,BROOKLYN,foco films,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,THIRD AVENUE,MANHATTAN,KAHEN PROPERTIES LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,5 AVENUE,MANHATTAN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,107 AVENUE,QUEENS,YASH & B CONSTRUCTION COR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,130 AVENUE,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,WEST  204 STREET,MANHATTAN,R.E.M. RESIDENTIAL,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,5 AVENUE,MANHATTAN,Stephen Kim,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,7 STREET,BROOKLYN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,66 STREET,BROOKLYN,FSA CAPITAL LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,3 PLACE,BROOKLYN,BUILD 360,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,JUNCTION BOULEVARD,QUEENS,VORNADO REALTY TRUST,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Support of Excavation,146 STREET,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,ZEPHYR AVENUE,STATEN ISLAND,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
